interval_or_uncertainty_item,source_file,n_or_denominator,current_interval_type,phase3_classification,recommended_action,replacement_language,notes
uncertainty_N768_passive:Gamma_h_to_d:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_passive:Gamma_h_to_s:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
uncertainty_N768_passive:local_voltage_isolation:bootstrap predictor intervals,results\revision_v2\r3\r3_predictor_comparison_intervals.csv,768,bootstrap_abs_spearman_95_low/high plus CV RMSE,bootstrap stability interval over designed rows,rename and heavily qualify; avoid confidence interval wording,deterministic bootstrap stability range over designed rows,"Useful as robustness check, not population inference."
phase05_N96:passive_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,256,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_N96:passive_iso_SMI_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,256,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_N96:passive_iso_transfer_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,1318,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_N96:active_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,256,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_N96:active_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,256,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_N96:NMDA_induced_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,72,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,219,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,219,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_transfer_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,1291,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,219,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,219,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:NMDA_induced_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,72,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,921,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,921,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_transfer_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,5043,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,921,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,921,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:NMDA_induced_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,144,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,3700,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,3700,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_transfer_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,21611,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,3700,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,3700,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:NMDA_induced_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,288,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,15224,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_SMI_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,15224,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:passive_iso_transfer_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,86123,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_iso_SMI_local_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,15224,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:active_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,15224,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
phase05_1_progressive:NMDA_induced_amplitude_failure,results\revision_v2\r3\r3_counterexample_prevalence_intervals.csv,576,Wilson 95 percent binomial interval over eligible sampled pairs,inappropriate or misleading,remove Wilson interval; report design fraction and denominator,fraction of eligible sampled parameter-pairs in the deterministic design,"Eligible pairs are induced by a deterministic ensemble, not random binomial trials."
uncertainty_summary,results\phase05\uncertainty_summary.csv,96,percentile/range summary,deterministic sensitivity-design percentile range,retain as descriptive range; do not call confidence interval,descriptive percentile range within the deterministic sensitivity ensemble,Range depends on selected parameter bounds.
progressive_uncertainty_summary,results\phase05_1\progressive_uncertainty_summary.csv,192; 384; 768; 96,percentile/range summary,deterministic sensitivity-design percentile range,retain as descriptive range; do not call confidence interval,descriptive percentile range within the deterministic sensitivity ensemble,Range depends on selected parameter bounds.
r3_radius_uncertainty_summary,results\revision_v2\r3\r3_radius_uncertainty_summary.csv,192; 384; 768; 96,percentile/range summary,deterministic sensitivity-design percentile range,retain as descriptive range; do not call confidence interval,descriptive percentile range within the deterministic sensitivity ensemble,Range depends on selected parameter bounds.
radius class-flip fraction,results\phase05_1\radius_uncertainty_by_n.csv,768,fraction by deterministic radius-error offsets,deterministic sensitivity-design fraction,retain as design fraction; remove prevalence/confidence language,class changes in sampled parameter combinations under the assumed radius-error model,Final design fraction=0.239583.
Phase 2 CV model-comparison metrics,results\revision_restart\phase2\phase2_ratio_vs_components_model_comparison.csv,varies by target/regime,deterministic cross-validated RMSE/R2,descriptive design-resampling check,retain as descriptive model-comparison metric,deterministic row-level cross-validation within designed/sensitivity rows,Do not use as population generalization error.
N=768 uncertainty summaries,results\phase05_1\global_uncertainty_samples_N768.csv,768,deterministic LHS sensitivity ensemble,deterministic sensitivity-design summary,retain as convergence/stability evidence only,within the N=768 deterministic sensitivity design,N stabilizes the design; it is not a biological sample size.
