derived_file,source_file,source_columns_used,row_count,transformation,notes
phase1_data_inventory.csv,results\phase05_1\global_uncertainty_samples_N768.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,768,schema discovery for all candidate CSVs,Deterministic uncertainty-design rows; not biological samples.
phase1_data_inventory.csv,results\phase05_1\global_uncertainty_samples_N96.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,schema discovery for all candidate CSVs,Deterministic uncertainty-design rows; not biological samples.
phase1_data_inventory.csv,results\phase06\matched_baseline_comparisons.csv,scenario; protocol; baseline_protocol; R_neck_Mohm_value; R_neck_Mohm_baseline; R_neck_Mohm_delta; R_neck_Mohm_relative_delta; R_in_d_Mohm_value; R_in_d_Mohm_baseline; R_in_d_Mohm_delta; R_in_d_Mohm_relative_delta; SMI_value; SMI_baseline; SMI_delta; SMI_relative_delta; A_h_mV_value; A_h_mV_baseline; A_h_mV_delta; A_h_mV_relative_delta; Gamma_h_to_d_value; Gamma_h_to_d_baseline; Gamma_h_to_d_delta; Gamma_h_to_d_relative_delta; Gamma_h_to_s_value; Gamma_h_to_s_baseline; Gamma_h_to_s_delta; Gamma_h_to_s_relative_delta; active_frozen_Zin_50Hz_Mohm_value; active_frozen_Zin_50Hz_Mohm_baseline; active_frozen_Zin_50Hz_Mohm_delta; active_frozen_Zin_50Hz_Mohm_relative_delta,27,schema discovery for all candidate CSVs,Comparison table uses *_value columns and may overlap scenario_metrics.
phase1_data_inventory.csv,results\phase06\mechanistic_decomposition.csv,SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; active_frozen_Zin_50Hz_Mohm; A_h_mV_delta_vs_baseline; Gamma_h_to_d_delta_vs_baseline; Gamma_h_to_s_delta_vs_baseline,8,schema discovery for all candidate CSVs,Exploratory decomposition rows only.
phase1_data_inventory.csv,results\phase06\scenario_metrics.csv,scenario; protocol; R_neck_Mohm; R_in_d_Mohm; SMI; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_Ztransfer_50Hz_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,27,schema discovery for all candidate CSVs,Exploratory supplemental scenarios only; no disease or clinical claim.
phase1_data_inventory.csv,results\phase06\scenario_uncertainty_samples.csv,scenario; protocol; R_neck_Mohm; R_in_d_Mohm; SMI; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_Ztransfer_50Hz_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,72,schema discovery for all candidate CSVs,N=8 per exploratory scenario sensitivity screen; no biological inference.
phase1_divider_residual_rows.csv,results\phase02\Figure2_representative_summary.csv,condition; neck_resistance_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; peak_neck_current_pA_head_to_dendrite,3,row-level Gamma_divider and residual calculation,
phase1_divider_residual_rows.csv,results\phase02\Figure3_geometry_sweep.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,400,row-level Gamma_divider and residual calculation,
phase1_divider_residual_rows.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,30,row-level Gamma_divider and residual calculation,
phase1_divider_residual_rows.csv,results\phase02\convergence_dt_intermediate.csv,condition; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; A_h_mV_abs_diff_vs_0_0025_ms; Gamma_h_to_d_abs_diff_vs_0_0025_ms; Gamma_h_to_s_abs_diff_vs_0_0025_ms,4,row-level Gamma_divider and residual calculation,Validation rows repeat the intermediate reference condition across dt.
phase1_divider_residual_rows.csv,results\phase03\smi_challenge_suite.csv,case; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz,24,row-level Gamma_divider and residual calculation,
phase1_divider_residual_rows.csv,results\phase03\spatial_convergence.csv,R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Gamma_h_to_s_rel_diff_vs_32seg,4,row-level Gamma_divider and residual calculation,"Spatial convergence rows are validation rows, not independent biological samples."
phase1_divider_residual_rows.csv,results\phase04\active_smi_challenge_suite.csv,case; protocol; active_profile; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; transfer_gain_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_transfer_gain_50Hz; active_profile_channel_count,47,row-level Gamma_divider and residual calculation,
phase1_divider_residual_rows.csv,results\phase05\global_uncertainty_samples.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,row-level Gamma_divider and residual calculation,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_rows.csv,results\phase05_1\global_uncertainty_samples_N192.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,192,row-level Gamma_divider and residual calculation,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_rows.csv,results\phase05_1\global_uncertainty_samples_N384.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,384,row-level Gamma_divider and residual calculation,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_rows.csv,results\phase05_1\global_uncertainty_samples_N768.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,768,row-level Gamma_divider and residual calculation,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_rows.csv,results\phase05_1\global_uncertainty_samples_N96.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,row-level Gamma_divider and residual calculation,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_rows.csv,results\phase06\matched_baseline_comparisons.csv,scenario; protocol; baseline_protocol; R_neck_Mohm_value; R_neck_Mohm_baseline; R_neck_Mohm_delta; R_neck_Mohm_relative_delta; R_in_d_Mohm_value; R_in_d_Mohm_baseline; R_in_d_Mohm_delta; R_in_d_Mohm_relative_delta; SMI_value; SMI_baseline; SMI_delta; SMI_relative_delta; A_h_mV_value; A_h_mV_baseline; A_h_mV_delta; A_h_mV_relative_delta; Gamma_h_to_d_value; Gamma_h_to_d_baseline; Gamma_h_to_d_delta; Gamma_h_to_d_relative_delta; Gamma_h_to_s_value; Gamma_h_to_s_baseline; Gamma_h_to_s_delta; Gamma_h_to_s_relative_delta; active_frozen_Zin_50Hz_Mohm_value; active_frozen_Zin_50Hz_Mohm_baseline; active_frozen_Zin_50Hz_Mohm_delta; active_frozen_Zin_50Hz_Mohm_relative_delta,27,row-level Gamma_divider and residual calculation,Comparison table uses *_value columns and may overlap scenario_metrics.
phase1_divider_residual_rows.csv,results\phase06\mechanistic_decomposition.csv,SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; active_frozen_Zin_50Hz_Mohm; A_h_mV_delta_vs_baseline; Gamma_h_to_d_delta_vs_baseline; Gamma_h_to_s_delta_vs_baseline,8,row-level Gamma_divider and residual calculation,Exploratory decomposition rows only.
phase1_divider_residual_rows.csv,results\phase06\scenario_metrics.csv,scenario; protocol; R_neck_Mohm; R_in_d_Mohm; SMI; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_Ztransfer_50Hz_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,27,row-level Gamma_divider and residual calculation,Exploratory supplemental scenarios only; no disease or clinical claim.
phase1_divider_residual_rows.csv,results\phase06\scenario_uncertainty_samples.csv,scenario; protocol; R_neck_Mohm; R_in_d_Mohm; SMI; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_Ztransfer_50Hz_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,72,row-level Gamma_divider and residual calculation,N=8 per exploratory scenario sensitivity screen; no biological inference.
phase1_divider_residual_summary_by_dataset.csv,results\phase02\Figure2_representative_summary.csv,condition; neck_resistance_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; peak_neck_current_pA_head_to_dendrite,3,descriptive summaries grouped by dataset and target,
phase1_divider_residual_summary_by_dataset.csv,results\phase02\Figure3_geometry_sweep.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,400,descriptive summaries grouped by dataset and target,
phase1_divider_residual_summary_by_dataset.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,30,descriptive summaries grouped by dataset and target,
phase1_divider_residual_summary_by_dataset.csv,results\phase02\convergence_dt_intermediate.csv,condition; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; A_h_mV_abs_diff_vs_0_0025_ms; Gamma_h_to_d_abs_diff_vs_0_0025_ms; Gamma_h_to_s_abs_diff_vs_0_0025_ms,4,descriptive summaries grouped by dataset and target,Validation rows repeat the intermediate reference condition across dt.
phase1_divider_residual_summary_by_dataset.csv,results\phase03\smi_challenge_suite.csv,case; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz,24,descriptive summaries grouped by dataset and target,
phase1_divider_residual_summary_by_dataset.csv,results\phase03\spatial_convergence.csv,R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Gamma_h_to_s_rel_diff_vs_32seg,4,descriptive summaries grouped by dataset and target,"Spatial convergence rows are validation rows, not independent biological samples."
phase1_divider_residual_summary_by_dataset.csv,results\phase04\active_smi_challenge_suite.csv,case; protocol; active_profile; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; transfer_gain_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_transfer_gain_50Hz; active_profile_channel_count,47,descriptive summaries grouped by dataset and target,
phase1_divider_residual_summary_by_dataset.csv,results\phase05\global_uncertainty_samples.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,descriptive summaries grouped by dataset and target,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_dataset.csv,results\phase05_1\global_uncertainty_samples_N192.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,192,descriptive summaries grouped by dataset and target,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_dataset.csv,results\phase05_1\global_uncertainty_samples_N384.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,384,descriptive summaries grouped by dataset and target,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_dataset.csv,results\phase05_1\global_uncertainty_samples_N768.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,768,descriptive summaries grouped by dataset and target,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_dataset.csv,results\phase05_1\global_uncertainty_samples_N96.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,descriptive summaries grouped by dataset and target,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_dataset.csv,results\phase06\matched_baseline_comparisons.csv,scenario; protocol; baseline_protocol; R_neck_Mohm_value; R_neck_Mohm_baseline; R_neck_Mohm_delta; R_neck_Mohm_relative_delta; R_in_d_Mohm_value; R_in_d_Mohm_baseline; R_in_d_Mohm_delta; R_in_d_Mohm_relative_delta; SMI_value; SMI_baseline; SMI_delta; SMI_relative_delta; A_h_mV_value; A_h_mV_baseline; A_h_mV_delta; A_h_mV_relative_delta; Gamma_h_to_d_value; Gamma_h_to_d_baseline; Gamma_h_to_d_delta; Gamma_h_to_d_relative_delta; Gamma_h_to_s_value; Gamma_h_to_s_baseline; Gamma_h_to_s_delta; Gamma_h_to_s_relative_delta; active_frozen_Zin_50Hz_Mohm_value; active_frozen_Zin_50Hz_Mohm_baseline; active_frozen_Zin_50Hz_Mohm_delta; active_frozen_Zin_50Hz_Mohm_relative_delta,27,descriptive summaries grouped by dataset and target,Comparison table uses *_value columns and may overlap scenario_metrics.
phase1_divider_residual_summary_by_dataset.csv,results\phase06\mechanistic_decomposition.csv,SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; active_frozen_Zin_50Hz_Mohm; A_h_mV_delta_vs_baseline; Gamma_h_to_d_delta_vs_baseline; Gamma_h_to_s_delta_vs_baseline,8,descriptive summaries grouped by dataset and target,Exploratory decomposition rows only.
phase1_divider_residual_summary_by_dataset.csv,results\phase06\scenario_metrics.csv,scenario; protocol; R_neck_Mohm; R_in_d_Mohm; SMI; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_Ztransfer_50Hz_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,27,descriptive summaries grouped by dataset and target,Exploratory supplemental scenarios only; no disease or clinical claim.
phase1_divider_residual_summary_by_dataset.csv,results\phase06\scenario_uncertainty_samples.csv,scenario; protocol; R_neck_Mohm; R_in_d_Mohm; SMI; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_Ztransfer_50Hz_Mohm; A_h_mV; Gamma_h_to_d; Gamma_h_to_s,72,descriptive summaries grouped by dataset and target,N=8 per exploratory scenario sensitivity screen; no biological inference.
phase1_divider_residual_summary_by_regime.csv,results\phase02\Figure2_representative_summary.csv,condition; neck_resistance_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; peak_neck_current_pA_head_to_dendrite,3,descriptive summaries grouped by regime and active/passive label,
phase1_divider_residual_summary_by_regime.csv,results\phase02\Figure3_geometry_sweep.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,400,descriptive summaries grouped by regime and active/passive label,
phase1_divider_residual_summary_by_regime.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,neck_resistance_Mohm; R_in_d_Mohm; SMI; Gamma_h_to_s; Gamma_h_to_d; A_h_mV,30,descriptive summaries grouped by regime and active/passive label,
phase1_divider_residual_summary_by_regime.csv,results\phase02\convergence_dt_intermediate.csv,condition; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; A_h_mV_abs_diff_vs_0_0025_ms; Gamma_h_to_d_abs_diff_vs_0_0025_ms; Gamma_h_to_s_abs_diff_vs_0_0025_ms,4,descriptive summaries grouped by regime and active/passive label,Validation rows repeat the intermediate reference condition across dt.
phase1_divider_residual_summary_by_regime.csv,results\phase03\smi_challenge_suite.csv,case; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz,24,descriptive summaries grouped by regime and active/passive label,
phase1_divider_residual_summary_by_regime.csv,results\phase03\spatial_convergence.csv,R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Gamma_h_to_s_rel_diff_vs_32seg,4,descriptive summaries grouped by regime and active/passive label,"Spatial convergence rows are validation rows, not independent biological samples."
phase1_divider_residual_summary_by_regime.csv,results\phase04\active_smi_challenge_suite.csv,case; protocol; active_profile; R_neck_Mohm; R_in_d_Mohm; SMI; A_h_mV; Gamma_h_to_d; Gamma_h_to_s; Zin_50Hz_Mohm; transfer_gain_50Hz; active_frozen_Zin_50Hz_Mohm; active_frozen_transfer_gain_50Hz; active_profile_channel_count,47,descriptive summaries grouped by regime and active/passive label,
phase1_divider_residual_summary_by_regime.csv,results\phase05\global_uncertainty_samples.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,96,descriptive summaries grouped by regime and active/passive label,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_regime.csv,results\phase05_1\global_uncertainty_samples_N192.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,192,descriptive summaries grouped by regime and active/passive label,Deterministic uncertainty-design rows; not biological samples.
phase1_divider_residual_summary_by_regime.csv,results\phase05_1\global_uncertainty_samples_N384.csv,R_neck_Mohm; R_in_d_Mohm; SMI; SMI_class; Gamma_h_to_d; Gamma_h_to_s; A_h_mV; Zin_50Hz_Mohm; Ztransfer_50Hz_Mohm; transfer_gain_50Hz; dynamic_SMI_abs_50Hz; active_Gamma_h_to_d; active_Gamma_h_to_s; active_A_h_mV; active_local_voltage_isolation; active_Zin_50Hz_Mohm; active_transfer_gain_50Hz; active_dynamic_SMI_abs_50Hz; AMPA_only_A_h_mV; NMDA_delta_A_h_fraction,384,descriptive summaries grouped by regime and active/passive label,Deterministic uncertainty-design rows; not biological samples.
