relative_path,exists,category,notes
submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.pdf,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.png,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/figures_publication/FigS10_external_summary_load_sensitivity.svg,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/main_unblinded.pdf,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/sections/discussion.tex,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/sections/methods.tex,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/sections/results.tex,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/source_files.zip,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/supplement.pdf,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/supplement/figures/FigS10_external_summary_load_sensitivity.svg,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/supplement/sections/external_summary_anchors.tex,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/supplement/supplement.pdf,True,submission_package,Phase 5b changed/created file or human approval marker.
submission/nature_neuroscience/supplement/supplement.tex,True,submission_package,Phase 5b changed/created file or human approval marker.
