source_id,citation_short,dataset_role,data_level,figure_table_or_section,page_or_location,field_name,value_raw,value_numeric,unit,statistic_type,uncertainty_value,uncertainty_unit,n,extraction_method,extraction_script_or_command,source_local_path,source_quote_short,confidence,provenance_note,usable_for_route1
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 5,PDF text around Fig. 5,representative_Zdendrite_2p_uncaging,Zdendrite = 371 MOhm,371,MOhm,single_value,,,1 representative experiment,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Zdendrite 371 MOhm,high,Representative measured example calculated from measured parameters.,conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 5-6,PDF text around mean values,R_neck_mean,27 +/- 6 MOhm,27,MOhm,mean,6,MOhm,29 spines / 24 cells / 22 animals,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Rneck 27+/-6 MOhm,high,Machine-readable PDF text gives measured summary mean for Rneck.,true
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 5-6,PDF text around mean values,Zdendrite_mean,275 +/- 27 MOhm,275,MOhm,mean,27,MOhm,29 spines / 24 cells / 22 animals,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Zdendrite 275+/-27 MOhm,high,Machine-readable PDF text gives same-source dendritic impedance/load summary.,true
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_measured,Results / Fig. 6,PDF text around AR mean,AR_mean,1.10 +/- 0.02,1.10,ratio,mean,0.02,ratio,29,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,AR 1.10+/-0.02,high,Machine-readable PDF text gives mean attenuation ratio near unity.,true
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,reported_range,Calibration uncertainty discussion,PDF text around calibration limits,Rneck_low_bAP_calibration_mean,22.5 +/- 4.8 MOhm,22.5,MOhm,mean,4.8,MOhm,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,22.5+/-4.8 MOhm,high,Lower calibration-bound mean; useful as uncertainty/context rather than independent sample.,conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,reported_range,Calibration uncertainty discussion,PDF text around calibration limits,Rneck_high_bAP_calibration_mean,43.7 +/- 9.7 MOhm,43.7,MOhm,mean,9.7,MOhm,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,43.7+/-9.7 MOhm,high,Upper calibration-bound mean; useful as uncertainty/context rather than independent sample.,conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_model,Fig. 8 model fit,PDF text around Fig. 8,model_fit_Rneck,Rneck = 40.5 MOhm,40.5,MOhm,single_value,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Rneck 40.5 MOhm,high,"Model-fit example, not measured per-spine table.",conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,summary_model,Fig. 8 model fit,PDF text around Fig. 8,model_fit_Zdendrite,Zdendrite = 564 MOhm,564,MOhm,single_value,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,Zdendrite 564 MOhm,high,Model-fit dendritic impedance/load example.,conditional
popovic_2015,Popovic et al. 2015 Nat Commun,popovic_low_isolation,qualitative_only,Abstract / Results,PDF text abstract and discussion,low_isolation_conclusion,spines not electrically isolated to a significant extent,,not_applicable,qualitative,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\popovic_ncomms9436.txt,not electrically isolated,high,"Qualitative interpretation supports contrast-pole role, with numeric rows above carrying the values.",conditional
kwon_2017,Kwon et al. 2017 Cell Reports,kwon_low_isolation,unavailable,primary full text / supplement,programmatic acquisition attempts,machine_recovered_Rneck_or_load_values,not recovered,,not_applicable,not_applicable,,,,not_recoverable,,,not recovered,rejected,Programmatic PDF/full-text retrieval failed or was blocked; metadata alone is insufficient for numeric extraction.,false
cornejo_2022,Cornejo et al. 2022 Science,cornejo_contrast_only,qualitative_only,metadata / review context,metadata and Zecevic review reference,voltage_compartmentalization_role,contrast-only; no paired load recovered,,not_applicable,qualitative,,,,citation_metadata_only,,,contrast only,low,Science primary full text/PDF was blocked; source retained only as contrast-only target with no rho_L plotting row.,false
zecevic_2023,Zecevic 2023 Biophys J,interpretive_context,qualitative_only,divider equations review,PDF text around Eq. 5,divider_logic,EPSPspine/EPSPdendrite = 1 + Rneck/Zdendrite,,not_applicable,qualitative,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\zecevic_bpj_2023.txt,1 + Rneck/Zdendrite,high,Review context confirms divider framing only; not primary empirical data.,false
zecevic_2023,Zecevic 2023 Biophys J,interpretive_context,reported_range,diffusional resistance discussion,PDF text around FRAP discussion,diffusional_Rneck_range_context,4 to 50 MOhm,4,MOhm,range_min,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\zecevic_bpj_2023.txt,4 to 50 MOhm,medium,Contextual review value; not entered as primary Route 1 empirical candidate.,false
zecevic_2023,Zecevic 2023 Biophys J,interpretive_context,reported_range,diffusional resistance discussion,PDF text around FRAP discussion,diffusional_Rneck_range_context,4 to 50 MOhm,50,MOhm,range_max,,,,machine_read_pdf_text,,data\external_empirical\phase0_1_sources\extracted_text\zecevic_bpj_2023.txt,4 to 50 MOhm,medium,Contextual review value; not entered as primary Route 1 empirical candidate.,false
