derived_file,source_file,transformation,notes
phase2_target_specific_descriptor_summary.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_target_specific_descriptor_summary.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_residual_predictor_summary.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_spine_omitted_vs_attached_rind.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_descriptor_recommendation_table.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
phase2_source_manifest.csv,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase02\Figure2_representative_summary.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase02\Figure3_geometry_sweep.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase02\convergence_dt_intermediate.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase03\smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase03\spatial_convergence.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase04\active_smi_challenge_suite.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase05\global_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase05_1\global_uncertainty_samples_N192.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase05_1\global_uncertainty_samples_N384.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase05_1\global_uncertainty_samples_N768.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase05_1\global_uncertainty_samples_N96.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase06\matched_baseline_comparisons.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase06\mechanistic_decomposition.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase06\scenario_metrics.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\phase06\scenario_uncertainty_samples.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
diagnostic_figures/*.svg,results\revision_restart\phase1\phase1_divider_residual_rows.csv,deterministic Restart Phase 2 descriptor post-processing,Raw source CSV was read only and not modified.
