dataset,phase_source,condition,regime,active_or_passive,target_type,source_file,row_id,SMI,observed_Gamma_h_to_d,Gamma_divider,residual,absolute_residual,relative_error,absolute_relative_error,log10_absolute_relative_error,exploratory_only,source_caveat,A_h_mV,Gamma_h_to_s,R_neck_Mohm,R_in_d_Mohm,A_d_mV,A_s_mV,neck_length_um,neck_radius_um,path_length_um,branch_order,membrane_area_um2,Zin_Mohm,Ztransfer_Mohm,transfer_gain,synaptic_conductance_scale,dynamic_SMI_abs,phase2_row_id,head_radius_um,SMI_class,log10_SMI,log10_R_neck_Mohm,log10_R_in_d_Mohm,log10_Zin_Mohm,log10_Ztransfer_Mohm,log10_transfer_gain,log10_dynamic_SMI_abs,source_head_radius_note
phase02_fixed_load_geometry_sweep,phase02,row_3,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,3,0.0463432929683702,0.9106612274708016,0.9557092846298092,-0.0450480571590076,0.0450480571590076,-0.0471357324695833,0.0471357324695833,-1.3266497397753747,False,,1.960682283744048,0.3302383351448815,6.695989098091513,144.48669201520914,,0.6474924531316983,0.1,0.0689473684210526,,,,,,,,,10,0.35,low,-1.3340131102270567,0.8258147378999956,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_4,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,4,0.0341971405807127,0.9353331162705696,0.9669336345665096,-0.03160051829594,0.03160051829594,-0.0326811656625296,0.0326811656625296,-1.4857024615711991,False,,1.9119758009574768,0.3391342799161518,4.941031718886253,144.48669201520914,,0.6484165364748218,0.1,0.0802631578947368,,,,,,,,,11,0.35,low,-1.4660102062811382,0.6938176418459148,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_5,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,5,0.0262682405413595,0.9509351900500552,0.9744041182376424,-0.0234689281875871,0.0234689281875871,-0.0240854156384665,0.0240854156384665,-1.618245854729037,False,,1.8825460938490524,0.3447573354255361,3.795411180880844,144.48669201520914,,0.6490215751311507,0.1,0.091578947368421,,,,,,,,,12,0.35,low,-1.5805690154807281,0.5792588326463246,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_6,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,6,0.0208082691931685,0.9614581494200504,0.9796158888783149,-0.0181577394582644,0.0181577394582644,-0.0185355705888514,0.0185355705888514,-1.7319940403452097,False,,1.863266101070307,0.3485487361886498,3.006517982282912,144.48669201520914,,0.6494390447112086,0.1,0.1028947368421052,,,,,,,,,13,0.35,low,-1.681764042379301,0.478063805747753,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_7,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,7,0.0168892363530803,0.9689028943173624,0.9833912723733303,-0.0144883780559679,0.0144883780559679,-0.0147330756973279,0.0147330756973279,-1.831706579773768,False,,1.849893754747936,0.3512305022518593,2.440269891319596,144.48669201520914,,0.6497391125926955,0.1,0.1142105263157894,,,,,,,,,14,0.35,low,-1.7723899866125887,0.3874378615144652,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_8,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,8,0.013981466109906,0.9743696724880704,0.986211319854252,-0.0118416473661816,0.0118416473661816,-0.0120072109575173,0.0120072109575173,-1.9205578590771848,False,,1.840212265486252,0.3531994596361757,2.020135787743073,144.48669201520914,,0.6499619777856069,0.1,0.1255263157894736,,,,,,,,,15,0.35,low,-1.8544472856677938,0.3053805624592585,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_9,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,9,0.0117647522282574,0.978504830102989,0.9883720477488988,-0.0098672176459098,0.0098672176459098,-0.0099833030166962,0.0099833030166962,-2.00072574682921,False,,1.8329654142085896,0.354688638377871,1.6998501318394743,144.48669201520914,,0.6501320069593752,0.1,0.1368421052631578,,,,,,,,,16,0.35,low,-1.9294172148571644,0.23041063326988825,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_10,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,10,0.0100362780035927,0.9817104650235255,0.9900634479947292,-0.0083529829712037,0.0083529829712037,-0.008436815830462,0.008436815830462,-2.073821431121198,False,,1.8273921913184168,0.3558429699177872,1.45010860888413,144.48669201520914,,0.6502646645633187,0.1,0.1481578947368421,,,,,,,,,17,0.35,low,-1.9984273172902622,0.16140053083679406,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_11,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,11,0.008662519476633,0.9842462122183008,0.9914118753206694,-0.0071656631023686,0.0071656631023686,-0.0072277357985559,0.0072277357985559,-2.1409977309487327,False,,1.8230110251547944,0.356756014157407,1.2516187836960255,144.48669201520914,,0.6503701470992329,0.1,0.1594736842105263,,,,,,,,,18,0.35,low,-2.0623557759201394,0.09747207220691395,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_12,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,12,0.0075526625115344,0.9862873613281092,0.9925039526046135,-0.0062165912765043,0.0062165912765043,-0.0062635430923878,0.0062635430923878,-2.2031799303390085,False,,1.8195018307189248,0.3574909279250854,1.091259222198888,144.48669201520914,,0.6504553978251004,0.1,0.1707894736842105,,,,,,,,,19,0.35,low,-2.1218999211883047,0.03792792693874806,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_13,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,13,0.0066431993269922,0.9879547961628172,0.9934006415267757,-0.0054458453639584,0.0054458453639584,-0.0054820232002151,0.0054820232002151,-2.2610591308351724,False,,1.816646627169988,0.3580912584515908,0.95985389515477,144.48669201520914,,0.6505252768851388,0.1,0.1821052631578947,,,,,,,,,20,0.35,low,-2.177622716501083,-0.017794868374029084,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_14,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,14,0.0058886371465978,0.9893346745916072,0.9941458359015743,-0.0048111613099672,0.0048111613099672,-0.0048394924931754,0.0048394924931754,-2.3152001794650614,False,,1.8142915974151408,0.3585880402992372,0.850829701789798,144.48669201520914,,0.650583268448468,0.1,0.1934210526315789,,,,,,,,,21,0.35,low,-2.229985205755957,-0.07015735762890345,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_15,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,15,0.0052556965036591,0.990489909665913,0.9947717814264184,-0.0042818717605053,0.0042818717605053,-0.0043043759789461,0.0043043759789461,-2.3660898008988083,False,,1.8123253310940584,0.3590039336485789,0.7593782020496062,144.48669201520914,,0.6506319229137303,0.1,0.2047368421052631,,,,,,,,,22,0.35,low,-2.279369721566945,-0.11954187343989132,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_16,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,16,0.0047195778929186,0.991466758495508,0.9953025918905488,-0.0038358333950407,0.0038358333950407,-0.0038539369095329,0.0038539369095329,-2.4140953991943115,False,,1.8106665003505689,0.3593555973378775,0.6819161974559319,144.48669201520914,,0.6506731418131628,0.1,0.2160526315789473,,,,,,,,,23,0.35,low,-2.3260968418264554,-0.16626899369939502,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_17,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,17,0.0042614950415284,0.9923001314207897,0.99575658823666,-0.0034564568158704,0.0034564568158704,-0.0034711864894525,0.0034711864894525,-2.459522053235959,False,,1.80925407727868,0.3596556030564812,0.6157293215896584,144.48669201520914,,0.6507083662460611,0.1,0.2273684210526315,,,,,,,,,24,0.35,low,-2.370438012545355,-0.2106101644183002,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_18,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,18,0.003867006466331,0.9930169847642172,0.9961478896692272,-0.0031309049050098,0.0031309049050098,-0.003143012134523,0.003143012134523,-2.502653942257565,False,,1.8080411921784776,0.3599136497855736,0.5587309723216023,144.48669201520914,,0.6507387044396157,0.1,0.2386842105263157,,,,,,,,,25,0.35,low,-2.4126251017077665,-0.252797253580704,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_19,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,19,0.0035248631606878,0.9936383424931666,0.9964875178582162,-0.0028491753650495,0.0028491753650495,-0.0028592183183321,0.0028592183183321,-2.5437526824079955,False,,1.8069913723666868,0.360137314354133,0.5092958178940651,144.48669201520914,,0.6507650199052278,0.1,0.25,,,,,,,,,26,0.35,low,-2.45285773816527,-0.29302989003820906,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_20,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,20,0.3596799143559052,0.3301897666977582,0.735467215071505,-0.4052774483737468,0.4052774483737468,-0.5510476062951959,0.5510476062951959,-0.2588108798084794,False,,5.1981371941228485,0.1201882338101052,51.96896100959847,144.48669201520914,,0.6247549284642412,0.2,0.035,,,,,,,,,27,0.35,intermediate,-0.4440838138577563,1.715744034269296,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_21,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,21,0.205397017208213,0.5257035017875568,0.8296021856069237,-0.3038986838193669,0.3038986838193669,-0.3663185670093666,0.3663185670093666,-0.4361410683806155,False,,3.3280999844062102,0.191007783927228,29.67713556620568,144.48669201520914,,0.6356930027096724,0.2,0.0463157894736842,,,,,,,,,28,0.35,low,-0.6874058675518845,1.472421980575168,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_22,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,22,0.1326573258489524,0.7032082157579941,0.8828795586966053,-0.1796713429386112,0.1796713429386112,-0.2035060628245374,0.2035060628245374,-0.6914226478047601,False,,2.5110682472019445,0.2552781619969337,19.16721818349883,144.48669201520914,,0.6410208867945744,0.2,0.0576315789473684,,,,,,,,,29,0.35,low,-0.8772687616038214,1.2825590865232308,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_23,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,23,0.0926865859367404,0.8068526698458646,0.91517550674672,-0.1083228369008555,0.1083228369008555,-0.1183629108321782,0.1183629108321782,-0.9267843630213044,False,,2.199741348302489,0.2927604433553279,13.391978196183024,144.48669201520914,,0.6439972523960835,0.2,0.0689473684210526,,,,,,,,,30,0.35,low,-1.0329831145630755,1.1268447335639769,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_24,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,24,0.0683942811614255,0.8632977954553605,0.9359840441236024,-0.0726862486682418,0.0726862486682418,-0.0776575723962268,0.0776575723962268,-1.1098161897802057,False,,2.062359510407508,0.3131478300754911,9.882063437772509,144.48669201520914,,0.6458234055196632,0.2,0.0802631578947368,,,,,,,,,31,0.35,low,-1.1649802106171563,0.994847637509896,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_25,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,25,0.052536481082719,0.8977049708616253,0.9500858335773066,-0.0523808627156813,0.0523808627156813,-0.0551327689188402,0.0551327689188402,-1.2585901955131933,False,,1.9873848919892407,0.3255648121351119,7.590822361761688,144.48669201520914,,0.647022589000637,0.2,0.091578947368421,,,,,,,,,32,0.35,low,-1.279539019816747,0.8802888283103059,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_26,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,26,0.0416165383863371,0.9203762458279772,0.9600462004464626,-0.0396699546184854,0.0396699546184854,-0.0413208808076498,0.0413208808076498,-1.383830429509027,False,,1.9411757572293653,0.3337418896880384,6.013035964565823,144.48669201520914,,0.6478516654343375,0.2,0.1028947368421052,,,,,,,,,33,0.35,low,-1.3807340467153186,0.7790938014117341,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_27,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,27,0.0337784727061607,0.9361667491258624,0.9673252310838534,-0.0311584819579909,0.0311584819579909,-0.0322109678903743,0.0322109678903743,-1.491996225098558,False,,1.910377185412454,0.3394347742012839,4.880539782639191,144.48669201520914,,0.6484484485697606,0.2,0.1142105263157894,,,,,,,,,34,0.35,low,-1.4713599909486061,0.6884678571784463,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_28,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,28,0.027962932219812,0.9476330069767424,0.972797723202501,-0.0251647162257586,0.0251647162257586,-0.0258683954799103,0.0258683954799103,-1.5872305081149836,False,,1.888689606566435,0.3435673784074636,4.0402715754861465,144.48669201520914,,0.6488921367534539,0.2,0.1255263157894736,,,,,,,,,35,0.35,low,-1.5534172900038128,0.6064105581232397,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_29,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,29,0.0235295044565148,0.9562355682783386,0.9770114057737802,-0.0207758374954416,0.0207758374954416,-0.0212646826563784,0.0212646826563784,-1.672341094097951,False,,1.8727787320553384,0.3466671652679055,3.399700263678949,144.48669201520914,,0.6492308942156466,0.2,0.1368421052631578,,,,,,,,,36,0.35,low,-1.6283872191931834,0.5314406289338696,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_30,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,30,0.0200725560071855,0.9628622555164544,0.9803224232541315,-0.0174601677376772,0.0174601677376772,-0.0178106379324866,0.0178106379324866,-1.749320524916483,False,,1.8607272889614448,0.3490545622084781,2.90021721776826,144.48669201520914,,0.6494953492378053,0.2,0.1481578947368421,,,,,,,,,37,0.35,low,-1.697397321626279,0.46243052650077526,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_31,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,31,0.017325038953266,0.968079314856393,0.9829700063500926,-0.0148906914936995,0.0148906914936995,-0.015148673303869,0.015148673303869,-1.8196254002995265,False,,1.8513623621888853,0.3509338531086951,2.503237567392051,144.48669201520914,,0.6497057272633611,0.2,0.1594736842105263,,,,,,,,,38,0.35,low,-1.7613257802561582,0.39850206787089515,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_32,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,32,0.0151053250230688,0.9722624387368028,0.9851194505134474,-0.0128570117766445,0.0128570117766445,-0.0130512211183561,0.0130512211183561,-1.8843488522986096,False,,1.8439304153932408,0.3524405322620645,2.182518444397776,144.48669201520914,,0.6498758170554036,0.2,0.1707894736842105,,,,,,,,,39,0.35,low,-1.8208699255243235,0.3389579226027293,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_33,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,33,0.0132863986539844,0.9756691118632598,0.9868878150623224,-0.0112187031990625,0.0112187031990625,-0.011367759362146,0.011367759362146,-1.9443251283246248,False,,1.8379279819070449,0.353667437478525,1.91970779030954,144.48669201520914,,0.6500152796311415,0.2,0.1821052631578947,,,,,,,,,40,0.35,low,-1.8765927208371018,0.2832351272899521,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_34,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,34,0.0117772742931956,0.978481538658038,0.9883598153542014,-0.0098782766961633,0.0098782766961633,-0.0099946158703581,0.0099946158703581,-2.000233892750426,False,,1.833006051199724,0.3546802509106482,1.701659403579596,144.48669201520914,,0.6501310461602544,0.2,0.1934210526315789,,,,,,,,,41,0.35,low,-1.9289552100919753,0.23087263803507774,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_35,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,35,0.0105113930073182,0.9808309790722852,0.9895979470592252,-0.0087669679869399,0.0087669679869399,-0.0088591210329332,0.0088591210329332,-2.05260936496206,False,,1.828917378277464,0.3555262808274003,1.5187564040992123,144.48669201520914,,0.6502281934395865,0.2,0.2047368421052631,,,,,,,,,42,0.35,low,-1.9783397259029638,0.18148812222408986,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_36,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,36,0.0094391557858373,0.9828137840477577,0.990649108733563,-0.0078353246858053,0.0078353246858053,-0.0079092835361473,0.0079092835361473,-2.101862855363303,False,,1.8254829795471,0.3562402476001171,1.3638323949118638,144.48669201520914,,0.6503105086236582,0.2,0.2160526315789473,,,,,,,,,43,0.35,low,-2.0250668461624697,0.13476100196458618,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_37,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,37,0.0085229900830568,0.9845031892939464,0.991549037387482,-0.0070458480935355,0.0070458480935355,-0.0071058997869635,0.0071058997869635,-2.148380921568848,False,,1.822568370817873,0.3568485405236931,1.2314586431793169,144.48669201520914,,0.6503808631310032,0.2,0.2273684210526315,,,,,,,,,44,0.35,low,-2.0694080168813738,0.09041983124568101,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_38,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,38,0.0077340129326621,0.9859540998913212,0.9923253429641072,-0.0063712430727859,0.0063712430727859,-0.0064205183491079,0.0064205183491079,-2.1924299085246246,False,,1.8200737498298705,0.3573709395044971,1.1174619446432046,144.48669201520914,,0.6504414659441737,0.2,0.2386842105263157,,,,,,,,,45,0.35,low,-2.1115951060437794,0.048232742083277214,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
phase02_fixed_load_geometry_sweep,phase02,row_39,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,39,0.0070497263213757,0.9872100546810084,0.9929996244106758,-0.0057895697296673,0.0057895697296673,-0.00583038461178,0.00583038461178,-2.234302795281422,False,,1.8179205962115392,0.3578231305548545,1.0185916357881302,144.48669201520914,,0.6504940388365604,0.2,0.25,,,,,,,,,46,0.35,low,-2.1518277425012826,0.008000105625772129,2.1598278481270525,,,,,default 0.35 um used when source row did not carry head size
