row_id,source_id,citation_short,recommended_marker_group,measured_or_model,R_neck_MOhm,R_neck_uncertainty_MOhm,load_model_id,load_model_value_MOhm,load_model_type,load_model_source,load_model_assumption,load_model_is_native,load_model_is_measured_same_source,rho_L,Gamma_div,rho_L_class,calculation_note
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_162,162,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,3.086419753,0.2447129909,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_200,200,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,2.5,0.2857142857,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_275,275,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,1.818181818,0.3548387097,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_400,400,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,1.25,0.4444444444,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_564,564,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.8865248227,0.530075188,high_gte_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
harnett_2012_summary_model_anchor,harnett_2012,Harnett et al. 2012 Nature,Harnett_summary_model,model_summary,500,,diagnostic_common_load_grid_666p667,666.667,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.749999625,0.5714286939,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,source_native,275,source_native,popovic_2015_measured_summary_anchor,Uses each row's locked Phase 1 source-native load.,true,true,0.09818181818,0.9105960265,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,common_SPINE_baseline_144p487,144.487,fixed_common_reference,computational_reference,"Computational reference load, not a biological measurement.",false,false,0.1868680227,0.842553663,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,common_Harnett_model_125,125,recovered_source_common,harnett_2012_summary_model_anchor,Harnett model Rdend carried from Phase 1; not universal.,false,false,0.216,0.8223684211,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,common_Popovic_measured_275,275,recovered_source_common,popovic_2015_measured_summary_anchor,Popovic measured Zdendrite reused as a common reference; not universal.,false,true,0.09818181818,0.9105960265,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,common_Popovic_model_fit_564,564,recovered_source_common,popovic_2015_model_fit_reference,Popovic model-fit load carried from Phase 1; not universal.,false,false,0.04787234043,0.9543147208,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_75,75,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.36,0.7352941176,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_100,100,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.27,0.7874015748,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_108,108,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.25,0.8,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_125,125,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.216,0.8223684211,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_144p487,144.487,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.1868680227,0.842553663,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_162,162,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.1666666667,0.8571428571,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_200,200,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.135,0.8810572687,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_275,275,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.09818181818,0.9105960265,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_400,400,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.0675,0.9367681499,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_564,564,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.04787234043,0.9543147208,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_measured_summary_anchor,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_measured_summary,measured_summary,27,6,diagnostic_common_load_grid_666p667,666.667,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.04049997975,0.9610764243,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,source_native,564,source_native,popovic_2015_model_fit_reference,Uses each row's locked Phase 1 source-native load.,true,false,0.07180851064,0.9330024814,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,common_SPINE_baseline_144p487,144.487,fixed_common_reference,computational_reference,"Computational reference load, not a biological measurement.",false,false,0.2803020341,0.7810656965,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,common_Harnett_model_125,125,recovered_source_common,harnett_2012_summary_model_anchor,Harnett model Rdend carried from Phase 1; not universal.,false,false,0.324,0.7552870091,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,common_Popovic_measured_275,275,recovered_source_common,popovic_2015_measured_summary_anchor,Popovic measured Zdendrite reused as a common reference; not universal.,false,false,0.1472727273,0.8716323296,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,common_Popovic_model_fit_564,564,recovered_source_common,popovic_2015_model_fit_reference,Popovic model-fit load carried from Phase 1; not universal.,false,false,0.07180851064,0.9330024814,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_75,75,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.54,0.6493506494,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_100,100,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.405,0.7117437722,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_108,108,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.375,0.7272727273,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_125,125,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.324,0.7552870091,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_144p487,144.487,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.2803020341,0.7810656965,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_162,162,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.25,0.8,intermediate_0p25_to_lt_0p75,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_200,200,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.2025,0.8316008316,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_275,275,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.1472727273,0.8716323296,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_400,400,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.10125,0.9080590238,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_564,564,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.07180851064,0.9330024814,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
popovic_2015_model_fit_reference,popovic_2015,Popovic et al. 2015 Nat Commun,Popovic_model_fit,model_summary,40.5,,diagnostic_common_load_grid_666p667,666.667,diagnostic_grid,diagnostic_common_grid,Deterministic diagnostic load value; not a biological distribution.,false,false,0.06074996963,0.942729228,low_lt_0p25,Summary-level deterministic load sensitivity; not per-spine inference.
